t,start,end,cause,vn,ws,ue,rain,blh_max,blh_before,rh,hour,south_before,south_after
2017-12-22 11:00:00,80.3,31.6,north wind,3.576057581739553,4.016923076923077,-1.5422314669506667,0.0,1145.0,20.714285714285715,38.38461538461539,11,139.40816326530611,133.85714285714286
2017-12-30 14:00:00,209.5,81.0,north wind,2.830248161039825,4.141538461538461,-2.967900701717031,0.0,2420.0,26.428571428571427,40.38461538461539,14,274.2857142857143,179.0
2018-01-06 02:00:00,65.0,25.2,north wind,3.938044322835794,4.61,0.027356169172922738,0.0,135.0,325.7142857142857,38.38461538461539,2,94.24489795918366,129.57142857142858
2018-01-14 23:00:00,120.0,38.3,north wind,3.4480398897084514,4.7700000000000005,0.7187754711724997,0.0,105.0,880.7142857142857,43.53846153846154,23,187.46938775510202,226.14285714285714
2018-01-17 15:00:00,72.9,24.7,north wind,3.605909961471857,4.2215384615384615,-1.9411109568376939,0.0,2005.0,35.714285714285715,32.23076923076923,15,141.73469387755102,164.28571428571428
2018-01-20 03:00:00,131.7,50.6,weak north wind,1.9240956354216732,3.1115384615384616,0.7730635271670472,0.0,75.0,247.14285714285714,46.46153846153846,3,167.83673469387756,212.85714285714286
2018-01-28 02:00:00,111.7,28.4,north wind,5.2332457304616105,5.722307692307691,-1.9497330389765324,0.0,1080.0,506.42857142857144,42.15384615384615,2,102.36734693877551,128.42857142857142
2018-02-07 08:00:00,89.7,34.0,north wind,6.021559101171443,6.458461538461538,-1.8393940050800102,0.0,2210.0,62.142857142857146,32.46153846153846,8,100.30612244897961,23.428571428571427
2018-02-09 12:00:00,75.4,28.2,north wind,4.977857176370291,6.7092307692307696,-4.237597092817162,0.0,2780.0,32.142857142857146,25.615384615384617,12,109.28571428571426,78.85714285714286
2018-02-14 02:00:00,100.3,38.2,north wind,4.301953516076336,4.758461538461539,0.0008225238289392486,0.0,105.0,257.85714285714283,30.923076923076923,2,55.87755102040817,90.85714285714286
2018-02-16 08:00:00,313.5,122.1,north wind,3.971527984800515,4.177692307692308,-1.0099026621810163,0.0,2215.0,47.142857142857146,30.153846153846153,8,179.69047619047618,108.71428571428571
2018-02-20 06:00:00,149.8,57.1,weak north wind,3.0484943997116662,3.4484615384615385,1.2088312556235226,0.0,1885.0,20.714285714285715,47.84615384615385,6,200.22448979591837,127.14285714285714
2018-02-28 20:00:00,126.0,46.3,north wind,4.142060521397766,6.198461538461538,-2.5444561930345575,0.0,1505.0,610.0,36.23076923076923,20,137.46938775510202,143.0
2018-03-04 04:00:00,187.9,63.3,unclear,1.4611481431091955,4.38923076923077,2.465143190762992,0.0,605.0,76.42857142857143,50.46153846153846,4,151.83673469387753,104.71428571428571
